run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.96875,2.1883890628814697
0,fuzzy-opf,22,0.915,0.9735294117647059,0.96875,0.16173768043518066
1,opf,-,-,-,1.0,0.01096653938293457
1,fuzzy-opf,17,0.920,1.0,1.0,0.14045953750610352
2,opf,-,-,-,1.0,0.02089977264404297
2,fuzzy-opf,18,0.226,0.9714285714285714,1.0,0.16454720497131348
3,opf,-,-,-,1.0,0.018241167068481445
3,fuzzy-opf,22,0.908,1.0,1.0,0.3828585147857666
4,opf,-,-,-,0.9705128205128205,0.023795366287231445
4,fuzzy-opf,39,0.747,0.9515151515151515,0.9705128205128205,0.4083559513092041
5,opf,-,-,-,1.0,0.03361034393310547
5,fuzzy-opf,10,1.071,0.9729166666666667,1.0,0.08210372924804688
6,opf,-,-,-,0.9750445632798574,0.02056097984313965
6,fuzzy-opf,36,0.532,0.9041666666666667,0.9750445632798574,0.3604767322540283
7,opf,-,-,-,1.0,0.024131059646606445
7,fuzzy-opf,4,0.980,1.0,1.0,0.5910491943359375
8,opf,-,-,-,1.0,0.11063957214355469
8,fuzzy-opf,35,1.169,1.0,1.0,0.3823277950286865
9,opf,-,-,-,1.0,0.017061710357666016
9,fuzzy-opf,1,0.702,0.9663461538461539,1.0,0.025194168090820312
10,opf,-,-,-,1.0,0.010999441146850586
10,fuzzy-opf,31,0.221,0.9729166666666667,1.0,0.30512046813964844
11,opf,-,-,-,0.9603174603174603,0.023295879364013672
11,fuzzy-opf,8,0.219,1.0,1.0,0.10470151901245117
12,opf,-,-,-,0.9695767195767195,0.020394086837768555
12,fuzzy-opf,7,0.940,1.0,0.9695767195767195,0.07852053642272949
13,opf,-,-,-,1.0,0.025019407272338867
13,fuzzy-opf,31,0.438,1.0,1.0,0.42205190658569336
14,opf,-,-,-,1.0,0.013315439224243164
14,fuzzy-opf,21,0.973,1.0,1.0,0.22070956230163574
15,opf,-,-,-,1.0,0.031113624572753906
15,fuzzy-opf,29,1.066,1.0,1.0,0.8137578964233398
16,opf,-,-,-,0.9583333333333334,0.04380965232849121
16,fuzzy-opf,10,0.723,1.0,0.9583333333333334,0.7848551273345947
17,opf,-,-,-,1.0,0.10745716094970703
17,fuzzy-opf,12,0.731,1.0,1.0,0.13590788841247559
18,opf,-,-,-,0.9464285714285714,0.01653289794921875
18,fuzzy-opf,26,0.705,0.9703703703703703,0.9464285714285714,0.2638990879058838
19,opf,-,-,-,1.0,0.015973329544067383
19,fuzzy-opf,5,0.961,1.0,1.0,0.0442805290222168
