run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.7887741719494815,0.36826586723327637
0,fuzzy-opf,22,0.915,0.6787237190197717,0.7677215403705342,0.13175296783447266
1,opf,-,-,-,0.7011487050960735,0.01158595085144043
1,fuzzy-opf,17,0.920,0.7862608932461874,0.7011487050960735,0.09691977500915527
2,opf,-,-,-,0.7080470272904484,0.012850522994995117
2,fuzzy-opf,18,0.226,0.6480263157894737,0.7080470272904484,0.1039421558380127
3,opf,-,-,-,0.6583256036332661,0.011495351791381836
3,fuzzy-opf,22,0.908,0.7240819573443413,0.6583256036332661,0.1276109218597412
4,opf,-,-,-,0.712733426704015,0.012232542037963867
4,fuzzy-opf,35,1.183,0.7638140490114175,0.6667094615624027,0.22440052032470703
5,opf,-,-,-,0.5765046296296297,0.012363672256469727
5,fuzzy-opf,10,1.071,0.7171539961013645,0.5945601851851852,0.06198930740356445
6,opf,-,-,-,0.6470778150441463,0.011340618133544922
6,fuzzy-opf,36,0.532,0.7249183006535947,0.6470778150441463,0.217545747756958
7,opf,-,-,-,0.7194444444444444,0.010373353958129883
7,fuzzy-opf,4,0.980,0.8273635477582846,0.7194444444444444,0.036275625228881836
8,opf,-,-,-,0.7352095516569201,0.012477874755859375
8,fuzzy-opf,35,1.169,0.7907651072124756,0.7352095516569201,0.21775412559509277
9,opf,-,-,-,0.7327303143479613,0.011722564697265625
9,fuzzy-opf,1,0.702,0.7872632971317182,0.7327303143479613,0.03135347366333008
10,opf,-,-,-,0.7246599211188995,0.013212919235229492
10,fuzzy-opf,28,1.153,0.7550309597523219,0.7392432544522327,0.16527605056762695
11,opf,-,-,-,0.6490740740740741,0.012209415435791016
11,fuzzy-opf,8,0.219,0.8150011466574935,0.6490740740740741,0.05362367630004883
12,opf,-,-,-,0.8099658869395712,0.013201475143432617
12,fuzzy-opf,7,0.940,0.629459422657952,0.8099658869395712,0.048137664794921875
13,opf,-,-,-,0.662251984126984,0.013894081115722656
13,fuzzy-opf,33,1.166,0.6590852130325815,0.662251984126984,0.19519329071044922
14,opf,-,-,-,0.680959342801448,0.01302957534790039
14,fuzzy-opf,13,1.158,0.7303824819401445,0.680959342801448,0.07988452911376953
15,opf,-,-,-,0.7254830294690975,0.013299703598022461
15,fuzzy-opf,21,1.145,0.8117578976034858,0.7046496961357642,0.12058186531066895
16,opf,-,-,-,0.694989209133946,0.011201143264770508
16,fuzzy-opf,10,0.723,0.8192747493734336,0.694989209133946,0.059938669204711914
17,opf,-,-,-,0.629807156780841,0.012500524520874023
17,fuzzy-opf,12,0.731,0.6878501400560224,0.629807156780841,0.06940412521362305
18,opf,-,-,-,0.6766490879977722,0.012262344360351562
18,fuzzy-opf,26,0.705,0.6140752207315674,0.6199030562517405,0.1539313793182373
19,opf,-,-,-,0.8031590413943355,0.012264490127563477
19,fuzzy-opf,5,0.961,0.7732814470817567,0.8031590413943355,0.044420719146728516
