run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds,membership_side,membership_kind
0,opf,-,-,-,0.8004012789326257,0.2467970848083496,-,-
0,fuzzy-opf,22,0.915,0.6621893274853801,0.8004012789326257,0.22695493698120117,target,quadratic
1,opf,-,-,-,0.8072333611807296,0.03246283531188965,-,-
1,fuzzy-opf,9,1.078,0.8564814814814815,0.8072333611807296,0.11740946769714355,target,quadratic
2,opf,-,-,-,0.7330226608187134,0.026571035385131836,-,-
2,fuzzy-opf,18,0.226,0.6457115009746588,0.7330226608187134,0.18311595916748047,target,quadratic
3,opf,-,-,-,0.6478053794617262,0.0316615104675293,-,-
3,fuzzy-opf,22,0.908,0.7249451754385965,0.6478053794617262,0.24455976486206055,target,quadratic
4,opf,-,-,-,0.7316332088390911,0.026941537857055664,-,-
4,fuzzy-opf,39,0.747,0.7483500417710944,0.7316332088390911,0.45204734802246094,target,quadratic
5,opf,-,-,-,0.6053240740740742,0.018510103225708008,-,-
5,fuzzy-opf,10,1.071,0.736598440545809,0.5872685185185185,0.08010077476501465,target,quadratic
6,opf,-,-,-,0.6935934095860566,0.021170854568481445,-,-
6,fuzzy-opf,36,0.532,0.7249183006535947,0.6935934095860566,0.33786988258361816,target,quadratic
7,opf,-,-,-,0.7194444444444444,0.01737499237060547,-,-
7,fuzzy-opf,24,1.150,0.8708576998050682,0.7194444444444444,0.18208646774291992,target,quadratic
8,opf,-,-,-,0.7336927387914229,0.021312236785888672,-,-
8,fuzzy-opf,35,1.169,0.855489417989418,0.7545260721247563,0.31974101066589355,target,quadratic
9,opf,-,-,-,0.7327303143479613,0.019080638885498047,-,-
9,fuzzy-opf,1,0.702,0.7868455861876914,0.7327303143479613,0.04368424415588379,target,quadratic
10,opf,-,-,-,0.7722789687379471,0.02087116241455078,-,-
10,fuzzy-opf,28,1.153,0.8530701754385965,0.7649785485698798,0.2373056411743164,target,quadratic
11,opf,-,-,-,0.648611111111111,0.02707076072692871,-,-
11,fuzzy-opf,8,0.219,0.8340356610480449,0.6490740740740741,0.10630011558532715,target,quadratic
12,opf,-,-,-,0.8284844054580897,0.024235963821411133,-,-
12,fuzzy-opf,7,0.940,0.692694716775599,0.8284844054580897,0.0818777084350586,target,quadratic
13,opf,-,-,-,0.644593253968254,0.021955013275146484,-,-
13,fuzzy-opf,33,1.166,0.6773844333054859,0.644593253968254,0.2994096279144287,target,quadratic
14,opf,-,-,-,0.7121519075466444,0.02165079116821289,-,-
14,fuzzy-opf,13,1.158,0.6843803749570003,0.7121519075466444,0.10949230194091797,target,quadratic
15,opf,-,-,-,0.7081412682031878,0.031261444091796875,-,-
15,fuzzy-opf,21,1.145,0.8587554466230937,0.6873079348698543,0.23398876190185547,target,quadratic
16,opf,-,-,-,0.8245527011974381,0.022276878356933594,-,-
16,fuzzy-opf,10,0.723,0.7889506752993595,0.8245527011974381,0.1013031005859375,target,quadratic
17,opf,-,-,-,0.629807156780841,0.01595330238342285,-,-
17,fuzzy-opf,12,0.731,0.6875778089013382,0.629807156780841,0.09091043472290039,target,quadratic
18,opf,-,-,-,0.673094193817878,0.028337478637695312,-,-
18,fuzzy-opf,26,0.705,0.6395381836945304,0.673094193817878,0.2701528072357178,target,quadratic
19,opf,-,-,-,0.770479302832244,0.030165433883666992,-,-
19,fuzzy-opf,11,0.338,0.7690277061116845,0.770479302832244,0.12918472290039062,target,quadratic
