sigma,val_accuracy,test_accuracy,fit_seconds
0.2,0.7265,0.7669,0.3
0.25,0.7265,0.7669,0.3
0.3,0.7265,0.7669,0.3
0.35,0.7265,0.7669,0.3
0.4,0.7265,0.7669,0.3
0.45,0.7265,0.7669,0.3
0.5,0.7265,0.7669,0.3
0.55,0.7265,0.7669,0.3
0.6,0.7265,0.7669,0.3
0.65,0.7265,0.7669,0.3
0.7,0.7265,0.7669,0.3
0.75,0.7265,0.7669,0.3
0.8,0.7265,0.7669,0.3
0.85,0.7265,0.7669,0.3
0.9,0.7265,0.7669,0.3
0.95,0.7265,0.7669,0.3
1.0,0.7265,0.7880,0.3
1.05,0.7265,0.7880,0.3
1.1,0.7265,0.7880,0.3
1.15,0.7265,0.7880,0.3
1.2,0.7265,0.7880,0.3
