run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.8668388502354347,0.32503533363342285
0,fuzzy-opf,83,0.915,0.8252193055543947,0.8668388502354347,11.530806064605713
1,opf,-,-,-,0.8319198533969332,0.17720484733581543
1,fuzzy-opf,63,0.920,0.8440541802787731,0.8319198533969332,4.4512245655059814
2,opf,-,-,-,0.9166292750093873,0.18600678443908691
2,fuzzy-opf,66,0.226,0.8569996173621345,0.9166292750093873,11.379233837127686
3,opf,-,-,-,0.8470905114972912,0.30139780044555664
3,fuzzy-opf,20,0.407,0.8716339856309292,0.8470905114972912,1.1949198246002197
4,opf,-,-,-,0.8907286856578327,0.21008086204528809
4,fuzzy-opf,105,0.416,0.8760646215963545,0.9028318602610073,13.068243980407715
5,opf,-,-,-,0.8641373080397471,0.15336823463439941
5,fuzzy-opf,26,1.164,0.8674486763356478,0.8536620109790841,1.5546348094940186
6,opf,-,-,-,0.8489104706209969,0.14773964881896973
6,fuzzy-opf,134,0.532,0.9543952321391346,0.8489104706209969,25.953492879867554
7,opf,-,-,-,0.8439200036075036,0.1627798080444336
7,fuzzy-opf,76,0.272,0.8046464646464647,0.8614957611832612,12.921535015106201
8,opf,-,-,-,0.7932961766330082,0.21369051933288574
8,fuzzy-opf,36,0.211,0.8891260712431522,0.8133168025858376,2.185025930404663
9,opf,-,-,-,0.8142049963924964,0.17185592651367188
9,fuzzy-opf,3,0.702,0.8877271356863699,0.8142049963924964,0.3831624984741211
10,opf,-,-,-,0.9223354003382641,0.22609424591064453
10,fuzzy-opf,116,0.221,0.8411412131536469,0.9286137400662028,31.281768798828125
11,opf,-,-,-,0.860575080914064,0.614248514175415
11,fuzzy-opf,70,0.925,0.8895447293096128,0.860575080914064,6.215609550476074
12,opf,-,-,-,0.8225725298093719,0.17651796340942383
12,fuzzy-opf,135,0.233,0.8248422842458144,0.8181865648970912,86.41993236541748
13,opf,-,-,-,0.8811149125665254,0.3534388542175293
13,fuzzy-opf,124,1.166,0.8929923726435355,0.8811149125665254,44.77067184448242
14,opf,-,-,-,0.8820864248810556,0.25414276123046875
14,fuzzy-opf,78,0.973,0.9120140060818027,0.8820864248810556,27.905343055725098
15,opf,-,-,-,0.8464894420470642,0.27473950386047363
15,fuzzy-opf,127,0.379,0.8414910811528982,0.8464894420470642,17.700021028518677
16,opf,-,-,-,0.8189133630597045,0.18134498596191406
16,fuzzy-opf,34,0.723,0.8998944114472207,0.8189133630597045,1.8003809452056885
17,opf,-,-,-,0.831048581048581,0.20571494102478027
17,fuzzy-opf,45,0.731,0.8208992463236945,0.831048581048581,4.271584987640381
18,opf,-,-,-,0.8010436940833203,0.3363173007965088
18,fuzzy-opf,98,0.705,0.8852671421276752,0.8010436940833203,13.13646650314331
19,opf,-,-,-,0.8435629322382294,0.1454296112060547
19,fuzzy-opf,38,0.338,0.8968616326791478,0.8435629322382294,2.989518165588379
