run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds,membership_side,membership_kind
0,opf,-,-,-,0.8668388502354347,0.642183780670166,-,-
0,fuzzy-opf,66,1.092,0.8297130362886638,0.8668388502354347,6.344085931777954,target,quadratic
1,opf,-,-,-,0.8319198533969332,0.43509650230407715,-,-
1,fuzzy-opf,63,0.920,0.8440541802787731,0.8319198533969332,6.186986207962036,target,quadratic
2,opf,-,-,-,0.9101892034530367,0.4008066654205322,-,-
2,fuzzy-opf,66,0.226,0.8841458812731042,0.9101892034530367,6.082189321517944,target,quadratic
3,opf,-,-,-,0.8847889241957039,0.4162430763244629,-,-
3,fuzzy-opf,20,0.407,0.876745634810375,0.8847889241957039,1.6305487155914307,target,quadratic
4,opf,-,-,-,0.8958403348372784,0.45261120796203613,-,-
4,fuzzy-opf,145,0.747,0.8690588768856917,0.8958403348372784,21.55657982826233,target,quadratic
5,opf,-,-,-,0.87461260510041,0.43259286880493164,-,-
5,fuzzy-opf,26,1.164,0.8739060766670775,0.87461260510041,2.110126256942749,target,quadratic
6,opf,-,-,-,0.8598231690336954,0.4574606418609619,-,-
6,fuzzy-opf,134,0.532,0.9543952321391346,0.8598231690336954,18.736338138580322,target,quadratic
7,opf,-,-,-,0.8439200036075036,0.40540575981140137,-,-
7,fuzzy-opf,90,1.150,0.7994324194324194,0.8439200036075036,9.975844383239746,target,quadratic
8,opf,-,-,-,0.8074860631139164,0.4097554683685303,-,-
8,fuzzy-opf,36,0.211,0.8891260712431522,0.8275066890667457,2.835819721221924,target,quadratic
9,opf,-,-,-,0.8142049963924964,0.3675558567047119,-,-
9,fuzzy-opf,3,0.702,0.8948659576597042,0.8142049963924964,0.8015270233154297,target,quadratic
10,opf,-,-,-,0.9160570606103255,0.394916296005249,-,-
10,fuzzy-opf,116,0.221,0.872139554118464,0.9286137400662028,13.925169229507446,target,quadratic
11,opf,-,-,-,0.8859719063108894,0.40758776664733887,-,-
11,fuzzy-opf,70,0.925,0.8826458222057877,0.8859719063108894,6.770966053009033,target,quadratic
12,opf,-,-,-,0.8841848940533151,0.4604926109313965,-,-
12,fuzzy-opf,24,0.940,0.8268122686057359,0.8841848940533151,2.082939624786377,target,quadratic
13,opf,-,-,-,0.8945408384924514,0.4261302947998047,-,-
13,fuzzy-opf,124,1.166,0.8929923726435355,0.8945408384924514,15.909773826599121,target,quadratic
14,opf,-,-,-,0.8820864248810556,0.37173032760620117,-,-
14,fuzzy-opf,78,0.973,0.9120140060818027,0.8820864248810556,7.508869409561157,target,quadratic
15,opf,-,-,-,0.8464894420470642,0.41496801376342773,-,-
15,fuzzy-opf,127,0.379,0.8713679050895176,0.8464894420470642,16.375017881393433,target,quadratic
16,opf,-,-,-,0.8407937049400465,0.4084353446960449,-,-
16,fuzzy-opf,34,0.723,0.9132959709014117,0.8407937049400465,2.6934187412261963,target,quadratic
17,opf,-,-,-,0.8656806156806157,0.39966726303100586,-,-
17,fuzzy-opf,45,0.731,0.8466702149639331,0.8656806156806157,3.6169474124908447,target,quadratic
18,opf,-,-,-,0.7942008756551361,0.45879697799682617,-,-
18,fuzzy-opf,98,0.705,0.8970796190564312,0.7942008756551361,11.785261392593384,target,quadratic
19,opf,-,-,-,0.8528798379979544,0.36695027351379395,-,-
19,fuzzy-opf,38,0.338,0.8968616326791478,0.8528798379979544,2.777071714401245,target,quadratic
