run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.9565548780487805,0.45186853408813477
0,fuzzy-opf,55,0.915,0.9833333333333333,0.9565548780487805,1.588697910308838
1,opf,-,-,-,1.0,0.08917093276977539
1,fuzzy-opf,21,1.078,0.9838709677419355,1.0,0.4930300712585449
2,opf,-,-,-,1.0,0.0877988338470459
2,fuzzy-opf,44,0.226,0.96,1.0,1.1776344776153564
3,opf,-,-,-,0.9827586206896551,0.08570027351379395
3,fuzzy-opf,56,0.908,1.0,1.0,1.657959222793579
4,opf,-,-,-,0.9833333333333333,0.08551621437072754
4,fuzzy-opf,86,1.183,1.0,0.9833333333333333,2.957941770553589
5,opf,-,-,-,1.0,0.09115242958068848
5,fuzzy-opf,23,1.071,0.9838709677419355,1.0,0.5518679618835449
6,opf,-,-,-,0.9857142857142858,0.08681178092956543
6,fuzzy-opf,89,0.532,0.984375,0.9857142857142858,3.084907293319702
7,opf,-,-,-,0.9827586206896551,0.08639144897460938
7,fuzzy-opf,9,0.980,0.984375,0.9827586206896551,0.2710413932800293
8,opf,-,-,-,0.984375,0.0890495777130127
8,fuzzy-opf,56,0.743,1.0,0.984375,1.6400549411773682
9,opf,-,-,-,0.967741935483871,0.08901357650756836
9,fuzzy-opf,2,0.702,0.9827586206896551,0.967741935483871,0.19145941734313965
10,opf,-,-,-,0.9649014778325123,0.08969688415527344
10,fuzzy-opf,77,0.221,0.9761904761904762,0.9649014778325123,2.5215260982513428
11,opf,-,-,-,0.9791666666666666,0.08637595176696777
11,fuzzy-opf,47,0.925,1.0,0.9791666666666666,1.2688422203063965
12,opf,-,-,-,0.9821428571428571,0.08970451354980469
12,fuzzy-opf,16,0.940,1.0,0.9821428571428571,0.3911631107330322
13,opf,-,-,-,1.0,0.08600735664367676
13,fuzzy-opf,61,0.976,0.9821428571428571,0.9814814814814815,1.8125388622283936
14,opf,-,-,-,1.0,0.0895085334777832
14,fuzzy-opf,52,0.973,0.9807692307692307,1.0,1.4291882514953613
15,opf,-,-,-,0.964375,0.08606386184692383
15,fuzzy-opf,85,0.379,0.9772727272727273,0.964375,2.8924100399017334
16,opf,-,-,-,0.9655172413793104,0.08779740333557129
16,fuzzy-opf,23,0.723,1.0,1.0,0.5391101837158203
17,opf,-,-,-,0.921875,0.0873105525970459
17,fuzzy-opf,30,0.731,1.0,0.921875,0.7265288829803467
18,opf,-,-,-,0.98,0.08893895149230957
18,fuzzy-opf,65,0.705,1.0,1.0,2.0317330360412598
19,opf,-,-,-,1.0,0.09246015548706055
19,fuzzy-opf,11,0.961,0.984375,1.0,0.3011469841003418
