run,method,test_accuracy,fit_seconds,best_params
0,fuzzy-opf,0.9444,0.8,-
0,svm_rbf,0.9444,2.0,{'C': 10; 'gamma': 0.01; 'kernel': 'rbf'}
0,random_forest,0.9878,1.5,{'max_depth': 20; 'n_estimators': 100}
0,knn,0.9566,0.0,{'n_neighbors': 3; 'weights': 'distance'}
0,xgboost,0.9634,0.3,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
1,fuzzy-opf,1.0000,0.5,-
1,svm_rbf,0.9792,0.1,{'C': 0.1; 'gamma': 0.001; 'kernel': 'rbf'}
1,random_forest,1.0000,1.5,{'max_depth': None; 'n_estimators': 100}
1,knn,1.0000,0.0,{'n_neighbors': 3; 'weights': 'distance'}
1,xgboost,0.9792,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
2,fuzzy-opf,1.0000,0.5,-
2,svm_rbf,0.9667,0.1,{'C': 0.1; 'gamma': 'scale'; 'kernel': 'rbf'}
2,random_forest,1.0000,1.4,{'max_depth': None; 'n_estimators': 100}
2,knn,1.0000,0.0,{'n_neighbors': 3; 'weights': 'distance'}
2,xgboost,1.0000,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
3,fuzzy-opf,1.0000,0.5,-
3,svm_rbf,0.9828,0.1,{'C': 100; 'gamma': 'scale'; 'kernel': 'rbf'}
3,random_forest,0.9828,1.4,{'max_depth': 20; 'n_estimators': 100}
3,knn,1.0000,0.0,{'n_neighbors': 5; 'weights': 'distance'}
3,xgboost,0.9828,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
4,fuzzy-opf,0.9833,0.5,-
4,svm_rbf,0.9833,0.1,{'C': 1; 'gamma': 'scale'; 'kernel': 'rbf'}
4,random_forest,0.9833,1.4,{'max_depth': None; 'n_estimators': 100}
4,knn,0.9833,0.0,{'n_neighbors': 5; 'weights': 'distance'}
4,xgboost,0.9833,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
5,fuzzy-opf,1.0000,0.5,-
5,svm_rbf,1.0000,0.1,{'C': 10; 'gamma': 0.01; 'kernel': 'rbf'}
5,random_forest,1.0000,1.4,{'max_depth': 20; 'n_estimators': 100}
5,knn,1.0000,0.0,{'n_neighbors': 9; 'weights': 'distance'}
5,xgboost,1.0000,0.2,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
6,fuzzy-opf,0.9857,0.5,-
6,svm_rbf,0.9630,0.1,{'C': 1; 'gamma': 'scale'; 'kernel': 'rbf'}
