run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds,membership_side,membership_kind
0,opf,-,-,-,0.9731818181818181,0.5301601886749268,-,-
0,fuzzy-opf,66,0.915,1.0,0.9731818181818181,5.263819694519043,target,quadratic
1,opf,-,-,-,0.9906127770534551,0.26323962211608887,-,-
1,fuzzy-opf,51,0.920,0.9859615384615384,0.9906127770534551,3.2801685333251953,target,quadratic
2,opf,-,-,-,1.0,0.4229402542114258,-,-
2,fuzzy-opf,53,0.226,1.0,1.0,4.753829479217529,target,quadratic
3,opf,-,-,-,0.9883870967741936,0.3138465881347656,-,-
3,fuzzy-opf,67,0.908,1.0,0.9883870967741936,5.41919469833374,target,quadratic
4,opf,-,-,-,1.0,0.28212976455688477,-,-
4,fuzzy-opf,116,0.747,1.0,1.0,11.207647562026978,target,quadratic
5,opf,-,-,-,1.0,0.2710394859313965,-,-
5,fuzzy-opf,27,1.071,1.0,1.0,1.5500853061676025,target,quadratic
6,opf,-,-,-,1.0,0.28156280517578125,-,-
6,fuzzy-opf,107,0.532,1.0,1.0,9.675644874572754,target,quadratic
7,opf,-,-,-,0.9745644519415011,0.2825593948364258,-,-
7,fuzzy-opf,10,0.980,1.0,0.9745644519415011,0.7877650260925293,target,quadratic
8,opf,-,-,-,0.9769230769230769,0.2528846263885498,-,-
8,fuzzy-opf,104,0.731,0.9884375,0.9769230769230769,8.836840152740479,target,quadratic
9,opf,-,-,-,1.0,0.3443267345428467,-,-
9,fuzzy-opf,2,0.702,1.0,1.0,0.7473900318145752,target,quadratic
10,opf,-,-,-,1.0,0.28227829933166504,-,-
10,fuzzy-opf,93,0.221,0.9913186813186813,1.0,8.018175840377808,target,quadratic
11,opf,-,-,-,1.0,0.3191511631011963,-,-
11,fuzzy-opf,22,0.219,1.0,1.0,1.3737573623657227,target,quadratic
12,opf,-,-,-,1.0,0.3101630210876465,-,-
12,fuzzy-opf,19,0.940,1.0,1.0,1.2710978984832764,target,quadratic
13,opf,-,-,-,0.981638418079096,0.31104612350463867,-,-
13,fuzzy-opf,94,0.438,0.9857142857142858,0.981638418079096,8.742900609970093,target,quadratic
14,opf,-,-,-,1.0,0.34421443939208984,-,-
14,fuzzy-opf,62,0.973,1.0,1.0,5.137962579727173,target,quadratic
15,opf,-,-,-,1.0,0.29057741165161133,-,-
15,fuzzy-opf,102,0.379,1.0,1.0,9.381715536117554,target,quadratic
16,opf,-,-,-,0.9872222222222222,0.30997800827026367,-,-
16,fuzzy-opf,28,0.723,0.9839598997493735,0.9872222222222222,1.7548491954803467,target,quadratic
17,opf,-,-,-,0.9678571428571429,0.3520479202270508,-,-
17,fuzzy-opf,36,0.731,1.0,0.9678571428571429,2.579305648803711,target,quadratic
18,opf,-,-,-,1.0,0.3416473865509033,-,-
18,fuzzy-opf,78,0.705,1.0,1.0,7.033340215682983,target,quadratic
19,opf,-,-,-,0.9912698412698413,0.33301210403442383,-,-
19,fuzzy-opf,13,0.961,1.0,0.9912698412698413,1.0255608558654785,target,quadratic
