run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds
0,opf,-,-,-,0.9152703728793457,2.411738157272339
0,fuzzy-opf,83,0.915,0.9064481437072509,0.916486917891511,27.742440462112427
1,opf,-,-,-,0.9023412978171816,2.032644510269165
1,fuzzy-opf,1,0.502,0.9184901292956906,0.9032600362143022,4.922921180725098
2,opf,-,-,-,0.9016608668088121,2.0977163314819336
2,fuzzy-opf,83,0.635,0.887762919427757,0.901660677904307,27.854519844055176
3,opf,-,-,-,0.8974953235959304,1.9949421882629395
3,fuzzy-opf,83,1.000,0.9111182145916623,0.8974953235959304,27.556945323944092
4,opf,-,-,-,0.8933821303054625,2.0884735584259033
4,fuzzy-opf,2,0.587,0.9016493427849732,0.8944282321994576,5.005094528198242
5,opf,-,-,-,0.9009455437829411,2.0670981407165527
5,fuzzy-opf,74,0.812,0.9230968744603751,0.9027569517993851,24.855116605758667
6,opf,-,-,-,0.9178037095108599,2.049201250076294
6,fuzzy-opf,17,0.795,0.9195331625571586,0.9188500917000992,6.502978801727295
7,opf,-,-,-,0.9000958894960311,1.9994359016418457
7,fuzzy-opf,12,0.980,0.9112522892404478,0.9031239352817912,5.826704025268555
8,opf,-,-,-,0.9042218844782084,2.053619146347046
8,fuzzy-opf,131,0.731,0.9015285478968345,0.905268172558658,56.024158000946045
9,opf,-,-,-,0.892812548036894,1.9964427947998047
9,fuzzy-opf,3,0.702,0.9302062679061125,0.8928126414661979,5.007853269577026
10,opf,-,-,-,0.884772463107774,2.0847911834716797
10,fuzzy-opf,122,1.000,0.8786714570679595,0.884772463107774,47.490540981292725
11,opf,-,-,-,0.8762846783091995,2.0254838466644287
11,fuzzy-opf,70,0.925,0.89690240036424,0.8834534215674326,22.283021450042725
12,opf,-,-,-,0.91096776460344,2.0555806159973145
12,fuzzy-opf,24,0.940,0.9031524890573225,0.910729575256555,7.923671245574951
13,opf,-,-,-,0.8963549308692427,2.081696033477783
13,fuzzy-opf,146,0.653,0.9020563877567201,0.9017643068599535,64.04696273803711
14,opf,-,-,-,0.9166149614117427,1.996845006942749
14,fuzzy-opf,78,0.973,0.9148436672596777,0.9175337925805739,26.239376068115234
15,opf,-,-,-,0.8953594288962734,2.0654170513153076
15,fuzzy-opf,7,0.400,0.9261008748649149,0.8973952222854651,5.312936544418335
16,opf,-,-,-,0.9131102658703013,2.0997066497802734
16,fuzzy-opf,34,0.723,0.9126696601930497,0.9135614113307139,10.183093070983887
17,opf,-,-,-,0.903357859457065,2.068079948425293
17,fuzzy-opf,45,0.731,0.8960276967986092,0.9038347275470718,13.272847890853882
18,opf,-,-,-,0.9094461960934489,2.031365156173706
18,fuzzy-opf,98,0.705,0.9044773349624823,0.912595366874723,35.176132917404175
19,opf,-,-,-,0.9046619877516286,2.05674147605896
19,fuzzy-opf,16,0.961,0.89161035940725,0.9046619877516286,6.252019882202148
