run,method,k_max,sigma,val_accuracy,test_accuracy,fit_seconds,membership_side,membership_kind
0,opf,-,-,-,0.7370446668404618,51.48049759864807,-,-
0,fuzzy-opf,20,1.150,-,0.7543129845332398,118.73621726036072,target,quadratic
1,opf,-,-,-,0.7511646852590782,50.70162391662598,-,-
1,fuzzy-opf,20,1.150,-,0.7390844850131872,118.51550126075745,target,quadratic
2,opf,-,-,-,0.7480507431769072,50.537431955337524,-,-
2,fuzzy-opf,20,1.150,-,0.746577460170837,117.75071287155151,target,quadratic
3,opf,-,-,-,0.747760824018467,50.72674226760864,-,-
3,fuzzy-opf,20,1.150,-,0.7374016729019889,117.40738773345947,target,quadratic
4,opf,-,-,-,0.7600979715040316,50.53271746635437,-,-
4,fuzzy-opf,20,1.150,-,0.7451105021079212,117.92690134048462,target,quadratic
5,opf,-,-,-,0.7505550967040223,50.909462690353394,-,-
5,fuzzy-opf,20,1.150,-,0.748598286856804,117.45159912109375,target,quadratic
6,opf,-,-,-,0.7359576340173102,50.830771923065186,-,-
6,fuzzy-opf,20,1.150,-,0.7360411820642696,117.31419229507446,target,quadratic
7,opf,-,-,-,0.7636638652514284,50.655617475509644,-,-
7,fuzzy-opf,20,1.150,-,0.7677569191152788,117.44266557693481,target,quadratic
8,opf,-,-,-,0.7514705380819403,50.68974041938782,-,-
8,fuzzy-opf,20,1.150,-,0.7577922485548574,116.9959671497345,target,quadratic
9,opf,-,-,-,0.7586640461752036,50.79494547843933,-,-
9,fuzzy-opf,20,1.150,-,0.7631554500052261,117.10809803009033,target,quadratic
10,opf,-,-,-,0.729263832082628,50.805758476257324,-,-
10,fuzzy-opf,20,1.150,-,0.7292560463108544,118.1918432712555,target,quadratic
11,opf,-,-,-,0.7513532048703679,50.988178730010986,-,-
11,fuzzy-opf,20,1.150,-,0.7439612891601695,117.94360637664795,target,quadratic
12,opf,-,-,-,0.7776005305769053,50.85236930847168,-,-
12,fuzzy-opf,20,1.150,-,0.7695348214790719,118.14907598495483,target,quadratic
13,opf,-,-,-,0.7509017156744595,50.894752979278564,-,-
13,fuzzy-opf,20,1.150,-,0.754093023039832,117.80983543395996,target,quadratic
14,opf,-,-,-,0.7659011376550677,50.61455583572388,-,-
14,fuzzy-opf,20,1.150,-,0.7624645213568814,118.2001883983612,target,quadratic
15,opf,-,-,-,0.6963654714749954,51.05060291290283,-,-
15,fuzzy-opf,20,1.150,-,0.6928732320071461,117.98819899559021,target,quadratic
16,opf,-,-,-,0.7329769478133252,50.706952810287476,-,-
16,fuzzy-opf,20,1.150,-,0.7403508189009119,117.75881719589233,target,quadratic
17,opf,-,-,-,0.7952733480370529,50.86611866950989,-,-
17,fuzzy-opf,20,1.150,-,0.7926950038742624,117.94643521308899,target,quadratic
18,opf,-,-,-,0.7228171988365799,50.9200918674469,-,-
18,fuzzy-opf,20,1.150,-,0.7154032842834626,117.66023445129395,target,quadratic
19,opf,-,-,-,0.7384155410002045,50.80806541442871,-,-
19,fuzzy-opf,20,1.150,-,0.7570843183429427,117.88528609275818,target,quadratic
