run,method,test_accuracy,fit_seconds,best_params
0,fuzzy-opf,0.7543,146.6,-
0,svm_rbf,0.8895,4.3,{'C': 100; 'gamma': 'scale'; 'kernel': 'rbf'}
0,random_forest,0.9810,2.7,{'max_depth': 20; 'n_estimators': 100}
0,knn,0.7198,0.3,{'n_neighbors': 5; 'weights': 'distance'}
0,xgboost,0.9879,2.3,{'learning_rate': 0.05; 'max_depth': 6; 'n_estimators': 200}
1,fuzzy-opf,0.7391,142.7,-
1,svm_rbf,0.8797,2.4,{'C': 100; 'gamma': 'scale'; 'kernel': 'rbf'}
1,random_forest,0.9829,3.0,{'max_depth': 10; 'n_estimators': 200}
1,knn,0.6809,0.3,{'n_neighbors': 7; 'weights': 'distance'}
1,xgboost,0.9809,2.1,{'learning_rate': 0.05; 'max_depth': 6; 'n_estimators': 200}
2,fuzzy-opf,0.7466,142.3,-
2,svm_rbf,0.8898,2.5,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
2,random_forest,0.9891,2.6,{'max_depth': 20; 'n_estimators': 100}
2,knn,0.7157,0.3,{'n_neighbors': 5; 'weights': 'distance'}
2,xgboost,0.9784,2.0,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
3,fuzzy-opf,0.7374,141.6,-
3,svm_rbf,0.8953,2.3,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
3,random_forest,0.9927,2.7,{'max_depth': 10; 'n_estimators': 100}
3,knn,0.6961,0.3,{'n_neighbors': 5; 'weights': 'distance'}
3,xgboost,0.9922,2.0,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
4,fuzzy-opf,0.7451,141.8,-
4,svm_rbf,0.8898,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
4,random_forest,0.9838,3.1,{'max_depth': 20; 'n_estimators': 200}
4,knn,0.7160,0.3,{'n_neighbors': 5; 'weights': 'distance'}
4,xgboost,0.9895,2.0,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 100}
5,fuzzy-opf,0.7486,142.2,-
5,svm_rbf,0.9037,2.5,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
5,random_forest,0.9929,2.6,{'max_depth': None; 'n_estimators': 100}
5,knn,0.7403,0.2,{'n_neighbors': 5; 'weights': 'distance'}
5,xgboost,0.9808,2.1,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
6,fuzzy-opf,0.7360,141.6,-
6,svm_rbf,0.8747,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
6,random_forest,0.9559,2.7,{'max_depth': 20; 'n_estimators': 100}
6,knn,0.6853,0.3,{'n_neighbors': 5; 'weights': 'distance'}
6,xgboost,0.9622,2.0,{'learning_rate': 0.1; 'max_depth': 3; 'n_estimators': 200}
7,fuzzy-opf,0.7678,142.4,-
7,svm_rbf,0.9126,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
7,random_forest,0.9914,2.9,{'max_depth': None; 'n_estimators': 200}
7,knn,0.7238,0.3,{'n_neighbors': 5; 'weights': 'distance'}
7,xgboost,0.9923,2.0,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
8,fuzzy-opf,0.7578,141.6,-
8,svm_rbf,0.9008,2.4,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
8,random_forest,0.9827,2.7,{'max_depth': None; 'n_estimators': 100}
8,knn,0.6994,0.3,{'n_neighbors': 5; 'weights': 'distance'}
8,xgboost,0.9927,2.0,{'learning_rate': 0.05; 'max_depth': 3; 'n_estimators': 200}
9,fuzzy-opf,0.7632,141.7,-
9,svm_rbf,0.8987,2.5,{'C': 100; 'gamma': 0.01; 'kernel': 'rbf'}
